Abchasien,Suchum,8 600,243 564,Азия,abkhazia
Australien,Canberra,7 686 850,24 238 610,Австралия и Океания,australia
Österreich,Wien,83 858,8 741 753,Европа,austria
Aserbaidschan,Baku,86 600,9 705 600,Азия,azerbaijan
Albanien,Tirana,28 748,2 866 026,Европа,albania
Algerien,Algerien,2 381 740,39 813 722,Африка,algeria
Angola,Luanda,1 246 700,25 831 000,Африка,angola
Andorra,Andorra la Vella,468,78 014,Европа,andorra
Antigua und Barbuda,St. Johns,442,93 581,Северная Америка,antigua_and_barbuda
Argentinien,Buenos Aires,2 766 890,43 847 000,Южная Америка,argentina
Armenien,Eriwan,29 741,2 995 100,Азия,armenia
Afghanistan,Kabul,647 500,29 822 848,Азия,afghanistan
Bahamas,Nassau,13 940,393 000,Северная Америка,the_bahamas
Bangladesch,Dhaka,144 000,160 221 000,Азия,bangladesh
Barbados,Bridgetown,430,291 495,Северная Америка,barbados
Bahrain,Manama,701,1 397 000,Азия,bahrain
Belize,Belmopan,22 966,377 968,Северная Америка,belize
Weißrussland,Minsk,207 595,9 498 400,Европа,belarus
Belgien,Brüssel,30 528,11 250 585,Европа,belgium
Benin,Porto-Novo,112 620,11 167 000,Африка,benin
Bulgarien,Sofia,110 910,7 153 784,Европа,bulgaria
Bolivien,Sucre,1 098 580,10 985 059,Южная Америка,bolivia
Bosnien und Herzegowina,Sarajevo,51 129,3 802 000,Европа,bosnia_and_herzegovina
Botswana,Gaborone,600 370,2 209 208,Африка,botswana
Brasilien,Brasilia,8 511 965,206 081 432,Южная Америка,brazil
Brunei,Bandar seri begawan,5 770,436 620,Азия,brunei
Burkina Faso,Ouagadougou,274 200,19 034 397,Африка,burkina_faso
Burundi,Gitega,27 830,11 099 298,Африка,burundi
Butan,Thimphu,47 000,784 000,Азия,bhutan
Vanuatu,Port vila,12 200,289 700,Австралия и Океания,vanuatu
Vatikan,Vatikan,44,842,Европа,vatican_city
