Абхазия,Сухум,8 600,243 564,Азия,abkhazia
Австралия,Канберра,7 686 850,24 238 610,Австралия и Океания,australia
Австрия,Вена,83 858,8 741 753,Европа,austria
Азербайджан,Баку,86 600,9 705 600,Азия,azerbaijan
Албания,Тирана,28 748,2 866 026,Европа,albania
Алжир,Алжир,2 381 740,39 813 722,Африка,algeria
Ангола,Луанда,1 246 700,25 831 000,Африка,angola
Андорра,Андорра-ла-Велья,468,78 014,Европа,andorra
Антигуа и Барбуда,Сент-Джонс,442,93 581,Северная Америка,antigua_and_barbuda
Аргентина,Буэнос-Айрес,2 766 890,43 847 000,Южная Америка,argentina
Армения,Ереван,29 741,2 995 100,Азия,armenia
Афганистан,Кабул,647 500,29 822 848,Азия,afghanistan
Багамские Острова,Нассау,13 940,393 000,Северная Америка,the_bahamas
Бангладеш,Дакка,144 000,160 221 000,Азия,bangladesh
Барбадос,Бриджтаун,430,291 495,Северная Америка,barbados
Бахрейн,Манама,701,1 397 000,Азия,bahrain
Белиз,Бельмопан,22 966,377 968,Северная Америка,belize
Белоруссия,Минск,207 595,9 498 400,Европа,belarus
Бельгия,Брюссель,30 528,11 250 585,Европа,belgium
Бенин,Порто-Ново,112 620,11 167 000,Африка,benin
Болгария,София,110 910,7 153 784,Европа,bulgaria
Боливия,Сукре,1 098 580,10 985 059,Южная Америка,bolivia
Босния и Герцеговина,Сараево,51 129,3 802 000,Европа,bosnia_and_herzegovina
Ботсвана,Габороне,600 370,2 209 208,Африка,botswana
Бразилия,Бразилиа,8 511 965,206 081 432,Южная Америка,brazil
Бруней,Бандар-Сери-Бегаван,5 770,436 620,Азия,brunei
Буркина-Фасо,Уагадугу,274 200,19 034 397,Африка,burkina_faso
Бурунди,Гитега,27 830,11 099 298,Африка,burundi
Бутан,Тхимпху,47 000,784 000,Азия,bhutan
Вануату,Порт-Вила,12 200,289 700,Австралия и Океания,vanuatu
Ватикан,Ватикан,44,842,Европа,vatican_city
Великобритания,Лондон,244 820,65 341 183,Европа,united_kingdom
Венгрия,Будапешт,93 030,9 830 485,Европа,hungary
Венесуэла,Каракас,912 050,31 028 637,Южная Америка,venezuela
Восточный Тимор,Дили,14 874,1 167 242,Азия,east_timor
Вьетнам,Ханой,329 560,91 713 300,Азия,vietnam
Габон,Либревиль,267 667,1 811 079,Африка,gabon
Гаити,Порт-о-Пренс,27 750,10 911 819,Северная Америка,haiti
Гайана,Джорджтаун,214 970,741 962,Южная Америка,guyana
Гамбия,Банжул,11 300,2 025 527,Африка,the_gambia
Гана,Аккра,238 540,28 308 301,Африка,ghana
Гватемала,Гватемала,108 890,16 555 556,Северная Америка,guatemala
Гвинея,Конакри,245 857,10 628 972,Африка,guinea
Гвинея-Бисау,Бисау,36 120,1 547 754,Африка,guinea-bissau
Германия,Берлин,357 021,82 175 684,Европа,germany
Гондурас,Тегусигальпа,112 090,8 721 014,Северная Америка,honduras
Государство Палестина,Иерусалим (Рамалла),6 020,4 816 503,Азия,palestine
Гренада,Сент-Джорджес,340,110 566,Северная Америка,grenada
Греция,Афины,131 940,10 793 526,Европа,greece
Грузия,Тбилиси,69 700,3 720 400,Азия,georgia
Дания,Копенгаген,43 094,5 707 251,Европа,denmark
Джибути,Джибути,22 000,890 179,Африка,djibouti
Доминика,Розо,754,69 393,Северная Америка,dominica
Доминиканская Республика,Санто-Доминго,48 730,10 075 045,Северная Америка,dominican_republic
ДР Конго,Киншаса,2 345 410,85 026 000,Африка,democratic_republic_of_the_congo
Египет,Каир,1 001 450,91 701 723,Африка,egypt
Замбия,Лусака,752 614,16 717 000,Африка,zambia
Зимбабве,Хараре,390 580,15 967 000,Африка,zimbabwe
Израиль,Иерусалим,22 072,8 585 000,Азия,israel
Индия,Нью-Дели,3 287 590,1 268 961 000,Азия,india
Индонезия,Джакарта,1 904 556,255 461 700,Азия,indonesia
Иордания,Амман,89 400,9 813 095,Азия,jordan
Ирак,Багдад,437 072,37 883 543,Азия,iraq
Иран,Тегеран,1 648 000,80 840 713,Азия,iran
Ирландия,Дублин,70 273,4 658 530,Европа,republic_of_ireland
Исландия,Рейкьявик,103 000,332 529,Европа,iceland
Испания,Мадрид,497 304,46 438 422,Европа,spain
Италия,Рим,301 340,60 665 551,Европа,italy
Йемен,Сана,527 970,27 478 000,Азия,yemen
Кабо-Верде,Прая,4 033,538 535,Африка,cape_verde
Казахстан,Нур-Султан,2 724 900,17 753 200,Азия,kazakhstan
Камбоджа,Пномпень,181 040,15 827 000,Азия,cambodia
Камерун,Яунде,475 440,23 924 000,Африка,cameroon
Канада,Оттава,9 976 139,36 286 425,Северная Америка,canada
Катар,Доха,11 437,2 553 393,Азия,qatar
Кения,Найроби,582 650,44 156 577,Африка,kenya
Кипр,Никосия,9 250,848 319,Азия,cyprus
Киргизия,Бишкек,198 500,6 019 500,Азия,kyrgyzstan
Кирибати,Южная Тарава,717,109 693,Австралия и Океания,kiribati
Китай,Пекин,9 640 821,1 410 549 741,Азия,china
КНДР,Пхеньян,120 540,25 281 000,Азия,north_korea
Колумбия,Богота,1 138 910,48 892 070,Южная Америка,colombia
Коморские Острова,Морони,2 235,806 153,Африка,comoros
Коста-Рика,Сан-Хосе,51 100,4 890 379,Северная Америка,costa_rica
Кот-д'Ивуар,Ямусукро,322 460,23 254 000,Африка,ivory_coast
Куба,Гавана,110 860,11 236 348,Северная Америка,cuba
Кувейт,Эль-Кувейт,17 820,4 330 308,Азия,kuwait
Лаос,Вьентьян,236 800,6 492 400,Азия,laos
Латвия,Рига,64 589,1 968 957,Европа,latvia
Лесото,Масеру,30 355,2 160 000,Африка,lesotho
Либерия,Монровия,111 370,4 001 855,Африка,liberia
Ливан,Бейрут,10 452,5 988 000,Азия,lebanon
Ливия,Триполи,1 759 540,6 244 174,Африка,libya
Литва,Вильнюс,65 200,2 888 558,Европа,lithuania
Лихтенштейн,Вадуц,160,37 662,Европа,liechtenstein
Люксембург,Люксембург,2 586,576 249,Европа,luxembourg
Маврикий,Порт-Луи,2 040,1 263 747,Африка,mauritius
Мавритания,Нуакшот,1 030 700,3 537 368,Африка,mauritania
Мадагаскар,Антананариву,587 040,24 430 325,Африка,madagascar
Малави,Лилонгве,118 480,17 377 468,Африка,malawi
Малайзия,Куала-Лумпур,329 750,31 790 277,Азия,malaysia
Мали,Бамако,1 240 000,18 135 000,Африка,mali
Мальдивские Острова,Мале,300,402 071,Азия,maldives
Мальта,Валлетта,316,434 403,Европа,malta
Марокко,Рабат,446 550,34 817 000,Африка,morocco
Маршалловы Острова,Маджуро,181,55 717,Австралия и Океания,marshall_islands
Мексика,Мехико,1 972 550,122 273 473,Северная Америка,mexico
Мозамбик,Мапуту,801 590,26 423 623,Африка,mozambique
Молдавия,Кишинёв,33 846,3 553 056,Европа,moldova
Монако,Монако,202,38 400,Европа,monaco
Монголия,Улан-Батор,1 564 116,3 081 677,Азия,mongolia
Мьянма,Нейпьидо,678 500,51 419 420,Азия,myanmar
Намибия,Виндхук,825 418,2 436 469,Африка,namibia
Науру,[нет столицы],213,10 800,Австралия и Океания,nauru
Непал,Катманду,140 800,28 431 494,Азия,nepal
Нигер,Ниамей,1 267 000,20 715 000,Африка,niger
Нигерия,Абуджа,923 768,186 988 000,Африка,nigeria
Нидерланды,Амстердам,41 526,16 979 120,Европа,netherlands
Никарагуа,Манагуа,129 494,6 262 703,Северная Америка,nicaragua
Новая Зеландия,Веллингтон,268 680,4 722 321,Австралия и Океания,new_zealand
Норвегия,Осло,385 186,5 213 985,Европа,norway
ОАЭ,Абу-Даби,82 880,9 267 000,Азия,united_arab_emirates
Оман,Маскат,309 500,4 523 401,Азия,oman
Пакистан,Исламабад,881 913,196 174 380,Азия,pakistan
Палау,Нгерулмуд,458,17 661,Австралия и Океания,palau
Панама,Панама,78 200,4 037 043,Северная Америка,panama
Папуа - Новая Гвинея,Порт-Морсби,463 840,8 151 300,Австралия и Океания,papua_new_guinea
Парагвай,Асунсьон,406 750,6 854 536,Южная Америка,paraguay
Перу,Лима,1 285 220,31 488 625,Южная Америка,paraguay
Польша,Варшава,312 685,37 967 209,Европа,poland
Португалия,Лиссабон,92 082,10 341 330,Европа,portugal
Республика Конго,Браззавиль,342 000,4 741 000,Африка,republic_of_the_congo
Республика Корея,Сеул,98 480,51 664 244,Азия,south_korea
