Абхазія,Сухумі,8 600,243 564,Азия,abkhazia
Австралія,Канберра,7 686 850,24 238 610,Австралия и Океания,australia
Австрія,Відень,83 858,8 741 753,Европа,austria
Азербайджан,Баку,86 600,9 705 600,Азия,azerbaijan
Албанія,тирана,28 748,2 866 026,Европа,albania
Алжир,Алжир,2 381 740,39 813 722,Африка,algeria
Ангола,Луанда,1 246 700,25 831 000,Африка,angola
Андорра,Андорра-ла-Велья,468,78 014,Европа,andorra
Антигуа і Барбуда,Сент-Джонс,442,93 581,Северная Америка,antigua_and_barbuda
Аргентина,Буенос-Айрес,2 766 890,43 847 000,Южная Америка,argentina
Вірменія,Єреван,29 741,2 995 100,Азия,armenia
Афганістан,Кабул,647 500,29 822 848,Азия,afghanistan
Багамські острови,Нассау,13 940,393 000,Северная Америка,the_bahamas
Бангладеш,Дакка,144 000,160 221 000,Азия,bangladesh
Барбадос,Бриджтаун,430,291 495,Северная Америка,barbados
Бахрейн,Манама,701,1 397 000,Азия,bahrain
Беліз,Бельмопан,22 966,377 968,Северная Америка,belize
Білорусь,Мінськ,207 595,9 498 400,Европа,belarus
Бельгія,Брюссель,30 528,11 250 585,Европа,belgium
Бенін,Порто-Ново,112 620,11 167 000,Африка,benin
Болгарія,Софія,110 910,7 153 784,Европа,bulgaria
Болівія,Сукре,1 098 580,10 985 059,Южная Америка,bolivia
Боснія і Герцеговина,Сараєво,51 129,3 802 000,Европа,bosnia_and_herzegovina
Ботсвана,Габороне,600 370,2 209 208,Африка,botswana
Бразилія,Бразиліа,8 511 965,206 081 432,Южная Америка,brazil
Бруней,Бандар-Сері-Бегаван,5 770,436 620,Азия,brunei
Буркіна-Фасо,Уагадугу,274 200,19 034 397,Африка,burkina_faso
Бурунді,Гітега,27 830,11 099 298,Африка,burundi
Бутан,Тхімпху,47 000,784 000,Азия,bhutan
Вануату,Порт-Віла,12 200,289 700,Австралия и Океания,vanuatu
Ватикан,Ватикан,44,842,Европа,vatican_city
Великобританія,Лондон,244 820,65 341 183,Европа,united_kingdom
Угорщина,Будапешт,93 030,9 830 485,Европа,hungary
Венесуела,Каракас,912 050,31 028 637,Южная Америка,venezuela
Східний Тімор,Ділі,14 874,1 167 242,Азия,east_timor
В'єтнам,Ханой,329 560,91 713 300,Азия,vietnam
Габон,Лібревіль,267 667,1 811 079,Африка,gabon
Гаїті,Порт-о-Пренс,27 750,10 911 819,Северная Америка,haiti
Гайана,Джорджтаун,214 970,741 962,Южная Америка,guyana
Гамбія,Банжул,11 300,2 025 527,Африка,the_gambia
Гана,Аккра,238 540,28 308 301,Африка,ghana
Гватемала,Гватемала,108 890,16 555 556,Северная Америка,guatemala
Гвінея,Конакрі,245 857,10 628 972,Африка,guinea
Гвінея-Бісау,Бісау,36 120,1 547 754,Африка,guinea-bissau
Німеччина,Берлін,357 021,82 175 684,Европа,germany
Гондурас,Тегусігальпа,112 090,8 721 014,Северная Америка,honduras
держава Палестина,Єрусалим (Рамалла),6 020,4 816 503,Азия,palestine
Гренада,Сент-Джорджес,340,110 566,Северная Америка,grenada
Греція,Афіни,131 940,10 793 526,Европа,greece
Грузія,Тбілісі,69 700,3 720 400,Азия,georgia
Данія,Копенгаген,43 094,5 707 251,Европа,denmark
Джібуті,Джібуті,22 000,890 179,Африка,djibouti
Домініка,Розо,754,69 393,Северная Америка,dominica
Домініканська республіка,Санто-Домінго,48 730,10 075 045,Северная Америка,dominican_republic
ДР Конго,Кіншаса,2 345 410,85 026 000,Африка,democratic_republic_of_the_congo
Єгипет,Каїр,1 001 450,91 701 723,Африка,egypt
Замбія,Лусака,752 614,16 717 000,Африка,zambia
Зімбабве,Хараре,390 580,15 967 000,Африка,zimbabwe
Ізраїль,Єрусалим,22 072,8 585 000,Азия,israel
Індія,Нью-Делі,3 287 590,1 268 961 000,Азия,india
Індонезія,Джакарта,1 904 556,255 461 700,Азия,indonesia
Йорданія,Амман,89 400,9 813 095,Азия,jordan
Ірак,Багдад,437 072,37 883 543,Азия,iraq
Іран,Тегеран,1 648 000,80 840 713,Азия,iran
Ірландія,Дублін,70 273,4 658 530,Европа,republic_of_ireland
Ісландія,Рейк'явік,103 000,332 529,Европа,iceland
Іспанія,Мадрид,497 304,46 438 422,Европа,spain
Італія,Рим,301 340,60 665 551,Европа,italy
Ємен,Сана,527 970,27 478 000,Азия,yemen
Кабо-Верде,Прая,4 033,538 535,Африка,cape_verde
Казахстан,Нур-Султан,2 724 900,17 753 200,Азия,kazakhstan
Камбоджа,Пномпень,181 040,15 827 000,Азия,cambodia
Камерун,Яунде,475 440,23 924 000,Африка,cameroon
Канада,Оттава,9 976 139,36 286 425,Северная Америка,canada
Катар,Доха,11 437,2 553 393,Азия,qatar
Кенія,Найробі,582 650,44 156 577,Африка,kenya
Кіпр,Нікосія,9 250,848 319,Азия,cyprus
Киргизія,Бішкек,198 500,6 019 500,Азия,kyrgyzstan
Кірібаті,Південна Тарава,717,109 693,Австралия и Океания,kiribati
Китай,Пекін,9 640 821,1 410 549 741,Азия,china
КНДР,Пхеньян,120 540,25 281 000,Азия,north_korea
Колумбія,Богота,1 138 910,48 892 070,Южная Америка,colombia
Коморські Острови,Мороні,2 235,806 153,Африка,comoros
Коста-Ріка,Сан-Хосе,51 100,4 890 379,Северная Америка,costa_rica
Кот-д'Івуар,Ямусукро,322 460,23 254 000,Африка,ivory_coast
Куба,Гавана,110 860,11 236 348,Северная Америка,cuba
Кувейт,Ель-Кувейт,17 820,4 330 308,Азия,kuwait
Лаос,В'єнтьян,236 800,6 492 400,Азия,laos
Латвія,Рига,64 589,1 968 957,Европа,latvia
Лесото,Масеру,30 355,2 160 000,Африка,lesotho
Ліберія,Монровія,111 370,4 001 855,Африка,liberia
Ліван,Бейрут,10 452,5 988 000,Азия,lebanon
Лівія,Тріполі,1 759 540,6 244 174,Африка,libya
Литва,Вільнюс,65 200,2 888 558,Европа,lithuania
